Employee ID,Risk Score,Primary Risk Factors,Managerial Advice
00-37153619,81.6%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-21814004,81.6%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-67953319,81.6%,Salary vs. Education Average | Department Sales | Gender Male,Review salary compared to their degree and department avg.
00-14635073,81.5%,Base Salary | Salary-to-Age Ratio | Department Operations,Review base salary against market benchmarks.
00-11582229,81.3%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-61583363,81.2%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-44990478,80.1%,Base Salary | Department Operations | Tenure (Years),Review base salary against market benchmarks.
00-81847296,80.0%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-24681002,79.9%,Education Level | Department Sales | Gender Male,Schedule a 1-on-1 stay interview.
00-28850509,79.6%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-28679934,79.5%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-67459585,79.1%,Education Level | Gender Male | Tenure (Years),Schedule a 1-on-1 stay interview.
00-64139232,79.0%,Base Salary | Department Operations | Gender Male,Review base salary against market benchmarks.
00-79277190,78.3%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-55246430,78.1%,Base Salary | Gender Male | Department Operations,Review base salary against market benchmarks.
00-22199793,77.9%,Department Sales | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-16844169,77.8%,Salary vs. Education Average | Tenure (Years) | Department Operations,Review salary compared to their degree and department avg.
00-34622346,77.4%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-39822796,77.2%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-50918884,77.1%,Education Level | Department Sales | Gender Male,Schedule a 1-on-1 stay interview.
00-88423925,77.1%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-43393307,76.9%,Department Operations | Base Salary | Performance Rating,Schedule a 1-on-1 stay interview.
00-54581131,76.9%,Salary vs. Education Average | Gender Male | Department Operations,Review salary compared to their degree and department avg.
00-65609738,76.8%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-29557879,76.7%,Base Salary | Salary vs. Education Average | Department Sales,Review base salary against market benchmarks.
00-39032170,76.7%,Salary vs. Education Average | Department Operations | Gender Male,Review salary compared to their degree and department avg.
00-15355917,76.1%,Education Level | Salary vs. Education Average | Gender Male,Schedule a 1-on-1 stay interview.
00-96942366,75.9%,Department Sales | Department Operations | Age,Schedule a 1-on-1 stay interview.
00-80238316,75.6%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-75479608,75.5%,Base Salary | State New York | Salary-to-Age Ratio,Review base salary against market benchmarks.
00-76779917,75.4%,Salary vs. Education Average | Department Operations | Gender Male,Review salary compared to their degree and department avg.
00-58518736,75.4%,Education Level | Gender Male | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-35297638,75.3%,Department Sales | Department Operations | Salary-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-12788232,75.2%,Department Operations | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-57128455,75.2%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-22109438,75.1%,State New York | Salary vs. Education Average | State Michigan,Schedule a 1-on-1 stay interview.
00-68171060,75.1%,Gender Male | Department Sales | Education Level,Schedule a 1-on-1 stay interview.
00-27245919,75.0%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-93265522,74.8%,Education Level | Department Sales | Department Operations,Schedule a 1-on-1 stay interview.
00-87194344,74.7%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-94674464,74.5%,Department Operations | Base Salary | Department Sales,Schedule a 1-on-1 stay interview.
00-14650569,74.5%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-87000815,74.0%,Salary-to-Age Ratio | Base Salary | Department Operations,Check if salary aligns with age and experience level.
00-64575354,74.0%,State New York | State Michigan | State North Carolina,Schedule a 1-on-1 stay interview.
00-66884191,73.6%,Salary vs. Education Average | Tenure (Years) | Gender Male,Review salary compared to their degree and department avg.
00-12132081,73.4%,Gender Male | Salary vs. Education Average | Department Sales,Schedule a 1-on-1 stay interview.
00-65500187,73.4%,Salary vs. Education Average | Department Sales | Age,Review salary compared to their degree and department avg.
00-66686642,73.1%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-97449682,73.0%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-93703711,72.8%,Department Sales | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-54658024,72.8%,Base Salary | Department Sales | Department Operations,Review base salary against market benchmarks.
00-77194013,72.8%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-11189346,72.7%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-44715287,72.7%,Department Sales | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-21135154,72.6%,Salary vs. Education Average | Tenure (Years) | Gender Male,Review salary compared to their degree and department avg.
00-54460861,72.6%,Department Sales | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-68213514,72.1%,State New York | State Michigan | Tenure-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-46953423,72.1%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-27365785,72.0%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-49040263,71.8%,Gender Male | Department It | Tenure-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-32331780,71.7%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-88946302,71.7%,Gender Male | Department Sales | Education Level,Schedule a 1-on-1 stay interview.
00-95461939,71.7%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-47038339,71.4%,Tenure (Years) | Salary vs. Education Average | Tenure-to-Age Ratio,Discuss long-term retention plans and loyalty benefits.
00-79786361,71.3%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-91271137,71.3%,Department Sales | Base Salary | Department Operations,Schedule a 1-on-1 stay interview.
00-11804855,71.2%,Department Operations | Base Salary | Department It,Schedule a 1-on-1 stay interview.
00-97580116,71.1%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-75826121,71.0%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-49101812,71.0%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-19263592,71.0%,Department Operations | Base Salary | Department It,Schedule a 1-on-1 stay interview.
00-53579429,70.8%,State New York | State Michigan | Department Sales,Schedule a 1-on-1 stay interview.
00-84832912,70.8%,Gender Male | Salary vs. Education Average | Education Level,Schedule a 1-on-1 stay interview.
00-39231043,70.5%,Tenure (Years) | Department Operations | Department It,Discuss long-term retention plans and loyalty benefits.
00-29373095,70.5%,Education Level | Department Sales | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-57182314,70.4%,Tenure-to-Age Ratio | Tenure (Years) | Gender Male,"Discuss career progression path; Identify if they feel ""stuck""."
00-72628704,70.3%,Tenure (Years) | Department Operations | Tenure-to-Age Ratio,Discuss long-term retention plans and loyalty benefits.
00-77480448,70.0%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-97974419,70.0%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-91397212,69.7%,Department Operations | Department Sales | Base Salary,Schedule a 1-on-1 stay interview.
00-93576934,69.7%,Gender Male | Education Level | Department It,Schedule a 1-on-1 stay interview.
00-11060619,69.6%,Base Salary | Department Operations | Department It,Review base salary against market benchmarks.
00-89715350,69.5%,Salary-to-Age Ratio | Education Level | Department Sales,Check if salary aligns with age and experience level.
00-67324398,69.4%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-44819972,69.3%,Base Salary | Salary vs. Education Average | Salary-to-Age Ratio,Review base salary against market benchmarks.
00-48526473,69.2%,Department Operations | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-22550720,69.0%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-87402122,68.8%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-62288069,68.7%,Salary vs. Education Average | Salary-to-Age Ratio | Department Sales,Review salary compared to their degree and department avg.
00-56596140,68.2%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-98388851,67.9%,Gender Male | Department Sales | Education Level,Schedule a 1-on-1 stay interview.
00-40107903,67.9%,Salary vs. Education Average | Gender Male | Department Operations,Review salary compared to their degree and department avg.
00-27092236,67.7%,State New York | State Michigan | State North Carolina,Schedule a 1-on-1 stay interview.
00-52103461,67.4%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-90410190,67.4%,Gender Male | Department Sales | Education Level,Schedule a 1-on-1 stay interview.
00-99062872,67.3%,Salary vs. Education Average | Age | Gender Male,Review salary compared to their degree and department avg.
00-16292676,67.2%,Base Salary | Department Operations | Tenure (Years),Review base salary against market benchmarks.
00-46765441,67.2%,Education Level | Gender Male | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-10459152,66.8%,Department Sales | Department Operations | Gender Male,Schedule a 1-on-1 stay interview.
00-27477597,66.8%,Salary vs. Education Average | Tenure (Years) | Gender Male,Review salary compared to their degree and department avg.
00-81466893,66.6%,Department Operations | Base Salary | Department Sales,Schedule a 1-on-1 stay interview.
00-12738143,66.5%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-32620027,66.3%,Base Salary | Department Operations | Department It,Review base salary against market benchmarks.
00-47827591,66.2%,Base Salary | Salary vs. Education Average | Department It,Review base salary against market benchmarks.
00-76657301,65.9%,Salary vs. Education Average | Education Level | Tenure-to-Age Ratio,Review salary compared to their degree and department avg.
00-14461288,65.8%,Department Operations | Salary vs. Education Average | Gender Male,Schedule a 1-on-1 stay interview.
00-56030008,65.8%,Base Salary | Department Operations | Gender Male,Review base salary against market benchmarks.
00-98498728,65.7%,Salary vs. Education Average | Gender Male | Performance Rating,Review salary compared to their degree and department avg.
00-59430818,65.6%,Department Sales | Education Level | Department It,Schedule a 1-on-1 stay interview.
00-93625419,65.1%,Salary vs. Education Average | Department Sales | Gender Male,Review salary compared to their degree and department avg.
00-29950518,65.0%,Base Salary | Department Operations | Department It,Review base salary against market benchmarks.
00-33556305,65.0%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-55786338,64.7%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-57949350,64.6%,Base Salary | Department Operations | Gender Male,Review base salary against market benchmarks.
00-21766833,64.2%,Department Sales | Department Operations | Salary-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-45410956,64.2%,Salary vs. Education Average | Gender Male | Age,Review salary compared to their degree and department avg.
00-68430949,64.0%,Department Sales | Department Operations | Gender Male,Schedule a 1-on-1 stay interview.
00-44534994,63.9%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-57493391,63.6%,Base Salary | Gender Male | Department Operations,Review base salary against market benchmarks.
00-56681534,63.6%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-75404850,63.4%,Base Salary | Age | Department Sales,Review base salary against market benchmarks.
00-51660066,63.3%,State New York | Salary vs. Education Average | State Michigan,Schedule a 1-on-1 stay interview.
00-34701959,63.2%,State New York | Salary vs. Education Average | Gender Male,Schedule a 1-on-1 stay interview.
00-81565416,62.9%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-22390315,62.8%,Salary-to-Age Ratio | Base Salary | Department It,Check if salary aligns with age and experience level.
00-76277877,62.7%,Base Salary | Salary-to-Age Ratio | Department Operations,Review base salary against market benchmarks.
00-52288490,62.7%,Salary vs. Education Average | Education Level | Gender Male,Review salary compared to their degree and department avg.
00-11907386,62.6%,Salary vs. Education Average | Tenure (Years) | Department It,Review salary compared to their degree and department avg.
00-12584460,62.4%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-49068306,62.3%,Gender Male | Department Sales | Education Level,Schedule a 1-on-1 stay interview.
00-28680305,62.3%,State New York | State Michigan | Department Sales,Schedule a 1-on-1 stay interview.
00-15246661,62.1%,Base Salary | Department Sales | Department Operations,Review base salary against market benchmarks.
00-62460899,62.0%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-47026058,62.0%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-42158168,62.0%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-77755826,61.9%,Department Operations | Department It | Department Sales,Schedule a 1-on-1 stay interview.
00-24971907,61.8%,Gender Male | Department Operations | Department Sales,Schedule a 1-on-1 stay interview.
00-10613380,61.8%,Department Sales | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-11504836,61.6%,State New York | Tenure (Years) | Salary-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-77648431,61.5%,Education Level | Department Sales | Gender Male,Schedule a 1-on-1 stay interview.
00-67377856,61.4%,State New York | Salary vs. Education Average | Base Salary,Schedule a 1-on-1 stay interview.
00-32555403,61.3%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-89196483,61.3%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-39845082,61.3%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-58102338,61.0%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-82396020,61.0%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-45800669,60.8%,Education Level | Gender Male | Tenure (Years),Schedule a 1-on-1 stay interview.
00-73893102,60.8%,Base Salary | Tenure-to-Age Ratio | Department Operations,Review base salary against market benchmarks.
00-32436477,60.8%,Tenure-to-Age Ratio | Salary vs. Education Average | Gender Male,"Discuss career progression path; Identify if they feel ""stuck""."
00-54214932,60.7%,Education Level | Gender Male | Tenure (Years),Schedule a 1-on-1 stay interview.
00-78685213,60.6%,Salary vs. Education Average | Gender Male | Age,Review salary compared to their degree and department avg.
00-99399687,60.6%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-59269031,60.6%,Salary vs. Education Average | Gender Male | Age,Review salary compared to their degree and department avg.
00-89279578,60.2%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-21908603,60.1%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-41775196,60.0%,Salary vs. Education Average | Tenure (Years) | Gender Male,Review salary compared to their degree and department avg.
00-39119785,60.0%,Department Sales | Education Level | Age,Schedule a 1-on-1 stay interview.
00-93349536,59.9%,Base Salary | Gender Male | Tenure-to-Age Ratio,Review base salary against market benchmarks.
00-86084622,59.9%,Department Operations | Base Salary | Department Sales,Schedule a 1-on-1 stay interview.
00-28505072,59.6%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-13141814,59.3%,Salary vs. Education Average | Age | Department Sales,Review salary compared to their degree and department avg.
00-75032899,59.1%,State New York | Salary vs. Education Average | State Michigan,Schedule a 1-on-1 stay interview.
00-92876094,58.8%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-70368405,58.7%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-69618021,58.7%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-37040091,58.7%,Education Level | Department Sales | Salary-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-41899399,58.5%,Salary vs. Education Average | Gender Male | Age,Review salary compared to their degree and department avg.
00-61268618,58.5%,Base Salary | Gender Male | Department Sales,Review base salary against market benchmarks.
00-97219985,58.0%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-80292642,58.0%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-82364511,57.7%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-89877290,57.7%,Base Salary | Department Sales | Department Operations,Review base salary against market benchmarks.
00-95640742,57.7%,Tenure (Years) | Education Level | Department Sales,Discuss long-term retention plans and loyalty benefits.
00-20482769,57.6%,Tenure (Years) | Education Level | Department Sales,Discuss long-term retention plans and loyalty benefits.
00-46387450,57.5%,Base Salary | Department Sales | Department Operations,Review base salary against market benchmarks.
00-27554964,57.5%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-21964334,57.4%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-53948395,57.4%,Tenure (Years) | Gender Male | Department Sales,Discuss long-term retention plans and loyalty benefits.
00-56031713,57.3%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-51621092,57.3%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-72673716,57.1%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-87561671,57.0%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-36692577,57.0%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-47101128,56.9%,Tenure (Years) | Department Sales | Overtime History,Discuss long-term retention plans and loyalty benefits.
00-73025187,56.9%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-61006646,56.7%,Base Salary | Salary-to-Age Ratio | Salary vs. Education Average,Review base salary against market benchmarks.
00-66936428,56.6%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-94019584,56.5%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-36809908,56.2%,Base Salary | Education Level | Department Operations,Review base salary against market benchmarks.
00-45882178,56.1%,Gender Male | Education Level | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-44716747,56.1%,Base Salary | Age | Department Operations,Review base salary against market benchmarks.
00-39314711,56.0%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-73558440,56.0%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-79641006,55.9%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-17519183,55.8%,Education Level | Department Operations | Gender Male,Schedule a 1-on-1 stay interview.
00-84939694,55.8%,Salary vs. Education Average | Age | Department Sales,Review salary compared to their degree and department avg.
00-70604045,55.6%,Base Salary | Salary-to-Age Ratio | Department Operations,Review base salary against market benchmarks.
00-11173934,55.6%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-18359252,55.5%,Gender Male | Salary vs. Education Average | Department Sales,Schedule a 1-on-1 stay interview.
00-62902012,55.4%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-90710835,55.4%,Education Level | Tenure-to-Age Ratio | Department Sales,Schedule a 1-on-1 stay interview.
00-65426729,55.3%,Base Salary | Department Operations | Tenure-to-Age Ratio,Review base salary against market benchmarks.
00-87821046,55.2%,Salary-to-Age Ratio | Department Sales | Education Level,Check if salary aligns with age and experience level.
00-66135725,55.1%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-45306385,55.1%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-70746857,54.9%,Gender Male | Tenure-to-Age Ratio | Department Sales,Schedule a 1-on-1 stay interview.
00-72744663,54.9%,State New York | Education Level | Gender Male,Schedule a 1-on-1 stay interview.
00-31188015,54.8%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-52253072,54.8%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-35756927,54.7%,State New York | Gender Male | Education Level,Schedule a 1-on-1 stay interview.
00-43983969,54.6%,Salary-to-Age Ratio | Gender Male | Salary vs. Education Average,Check if salary aligns with age and experience level.
00-82968364,54.6%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-47056223,54.5%,Department Sales | Education Level | Gender Male,Schedule a 1-on-1 stay interview.
00-50107238,54.5%,State New York | State Michigan | Salary-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-11910266,54.3%,Base Salary | Age | Department Sales,Review base salary against market benchmarks.
00-27849589,54.1%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-36098769,54.0%,Gender Male | Department It | Department Sales,Schedule a 1-on-1 stay interview.
00-82149862,53.9%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-66682016,53.9%,Department Operations | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-51819114,53.9%,Salary vs. Education Average | Department Sales | Gender Male,Review salary compared to their degree and department avg.
00-99526487,53.8%,Base Salary | Salary vs. Education Average | Overtime History,Review base salary against market benchmarks.
00-65938288,53.7%,Base Salary | Gender Male | Department Sales,Review base salary against market benchmarks.
00-69899586,53.7%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-62436517,53.7%,Department Sales | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-93010827,53.6%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-13870432,53.6%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-26155543,53.5%,Salary vs. Education Average | Education Level | Department Sales,Review salary compared to their degree and department avg.
00-44578317,53.5%,Salary vs. Education Average | Age | Department Sales,Review salary compared to their degree and department avg.
00-74481609,53.4%,Base Salary | Salary vs. Education Average | Age,Review base salary against market benchmarks.
00-18562070,53.4%,Gender Male | Department Operations | Department It,Schedule a 1-on-1 stay interview.
00-30017834,53.3%,Gender Male | Education Level | Department Sales,Schedule a 1-on-1 stay interview.
00-69315901,53.3%,Department Operations | Department Sales | Overtime History,Schedule a 1-on-1 stay interview.
00-19282319,53.2%,Department Sales | Gender Male | Education Level,Schedule a 1-on-1 stay interview.
00-28963920,53.1%,Education Level | Department Sales | Gender Male,Schedule a 1-on-1 stay interview.
00-61506760,53.1%,Department Sales | Base Salary | Age,Schedule a 1-on-1 stay interview.
